"No.","Time","Source","Destination","Protocol","Length","Info"
"35","5.963624","209.85.143.19","10.20.0.165","TCP","60","443  >  1698 [ACK] Seq=9819 Ack=5447 Win=15484 Len=0"
"36","6.793866","10.20.0.254","239.255.255.250","SSDP","349","NOTIFY * HTTP/1.1  "
"37","6.793932","10.20.0.254","239.255.255.250","SSDP","360","NOTIFY * HTTP/1.1  "
"38","6.793970","10.20.0.254","239.255.255.250","SSDP","421","NOTIFY * HTTP/1.1  "
"39","6.794006","10.20.0.254","239.255.255.250","SSDP","413","NOTIFY * HTTP/1.1  "
"40","6.794044","10.20.0.254","239.255.255.250","SSDP","360","NOTIFY * HTTP/1.1  "
"41","6.794087","10.20.0.254","239.255.255.250","SSDP","397","NOTIFY * HTTP/1.1  "
"42","6.794124","10.20.0.254","239.255.255.250","SSDP","429","NOTIFY * HTTP/1.1  "
"43","6.794161","10.20.0.254","239.255.255.250","SSDP","360","NOTIFY * HTTP/1.1  "
"44","6.794201","10.20.0.254","239.255.255.250","SSDP","417","NOTIFY * HTTP/1.1  "
"45","6.794240","10.20.0.254","239.255.255.250","SSDP","411","NOTIFY * HTTP/1.1  "
"46","7.176610","209.85.143.19","10.20.0.165","SSLv3","1404","Application Data, Application Data"
"47","7.177306","209.85.143.19","10.20.0.165","SSLv3","1404","Application Data"
"48","7.177361","10.20.0.165","209.85.143.19","TCP","54","1698  >  443 [ACK] Seq=5447 Ack=12519 Win=65535 Len=0"
"49","7.177387","209.85.143.19","10.20.0.165","SSLv3","119","Application Data"
"50","7.177430","209.85.143.19","10.20.0.165","SSLv3","1404","Application Data"
"51","7.177477","10.20.0.165","209.85.143.19","TCP","54","1698  >  443 [ACK] Seq=5447 Ack=13934 Win=64120 Len=0"
"52","7.177502","209.85.143.19","10.20.0.165","SSLv3","558","Application Data"
"53","7.274564","209.85.143.19","10.20.0.165","SSLv3","1404","Application Data"
"54","7.274620","10.20.0.165","209.85.143.19","TCP","54","1698  >  443 [ACK] Seq=5447 Ack=15788 Win=65535 Len=0"
"55","7.275042","209.85.143.19","10.20.0.165","SSLv3","589","Application Data"
"56","7.281222","10.20.0.165","209.85.143.19","SSLv3","1105","Application Data"
"57","7.409288","209.85.143.19","10.20.0.165","TCP","60","443  >  1698 [ACK] Seq=16323 Ack=6498 Win=17696 Len=0"
"58","7.742745","209.85.143.19","10.20.0.165","SSLv3","1404","Application Data, Application Data"
"59","7.742852","209.85.143.19","10.20.0.165","SSLv3","254","Application Data"
"60","7.742922","10.20.0.165","209.85.143.19","TCP","54","1698  >  443 [ACK] Seq=6498 Ack=17873 Win=65535 Len=0"
"61","7.752275","10.20.0.165","209.85.143.19","SSLv3","1105","Application Data"
"62","7.858831","209.85.143.19","10.20.0.165","TCP","60","443  >  1698 [ACK] Seq=17873 Ack=7549 Win=19969 Len=0"
"63","8.205830","209.85.143.19","10.20.0.165","SSLv3","957","Application Data, Application Data"
"64","8.246678","10.20.0.165","209.85.143.19","SSLv3","1080","Application Data"
"65","8.256540","10.20.0.165","209.85.143.19","TCP","62","1699  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"66","8.262981","209.85.143.19","10.20.0.165","TCP","60","443  >  1698 [ACK] Seq=18776 Ack=8575 Win=22071 Len=0"
"67","8.263034","209.85.143.19","10.20.0.165","SSLv3","546","Application Data, Application Data"
"68","8.273374","209.85.143.19","10.20.0.165","TCP","62","443  >  1699 [SYN, ACK] Seq=0 Ack=1 Win=5720 Len=0 MSS=1430 SACK_PERM"
"69","8.273411","10.20.0.165","209.85.143.19","TCP","54","1699  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"70","8.281050","10.20.0.165","209.85.143.19","SSLv3","1083","Application Data"
"71","8.282031","10.20.0.165","209.85.143.19","SSLv3","156","Client Hello"
"72","8.297952","209.85.143.19","10.20.0.165","TCP","60","443  >  1699 [ACK] Seq=1 Ack=103 Win=5720 Len=0"
"73","8.298001","209.85.143.19","10.20.0.165","SSLv3","579","Application Data, Application Data"
"74","8.298654","209.85.143.19","10.20.0.165","SSLv3","204","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"75","8.298779","10.20.0.165","209.85.143.19","SSLv3","1106","Application Data"
"76","8.309005","10.20.0.165","209.85.143.19","SSLv3","125","Change Cipher Spec, Encrypted Handshake Message"
"77","8.309890","10.20.0.165","209.85.143.19","SSLv3","1082","Application Data"
"78","8.328437","209.85.143.19","10.20.0.165","TCP","60","443  >  1699 [ACK] Seq=151 Ack=1202 Win=7196 Len=0"
"79","8.328944","209.85.143.19","10.20.0.165","SSLv3","550","Application Data, Application Data"
"80","8.359953","209.85.143.19","10.20.0.165","TCP","60","443  >  1698 [ACK] Seq=19793 Ack=10656 Win=26300 Len=0"
"81","8.453519","10.20.0.165","209.85.143.19","TCP","54","1699  >  443 [ACK] Seq=1202 Ack=647 Win=64889 Len=0"
"82","8.646800","209.85.143.19","10.20.0.165","SSLv3","917","Application Data, Application Data"
"83","8.781641","10.20.0.165","209.85.143.19","TCP","54","1698  >  443 [ACK] Seq=10656 Ack=20656 Win=64672 Len=0"
"84","14.054594","10.20.0.165","89.101.160.4","DNS","77","Standard query 0x10f1 A www.microsoft.com"
"85","14.070762","89.101.160.4","10.20.0.165","DNS","165","Standard query response 0x10f1 A www.microsoft.com CNAME toggle.www.ms.akadns.net CNAME g.www.ms.akadns.net CNAME lb1.www.ms.akadns.net A 207.46.19.190"
"86","14.094486","10.20.0.165","207.46.19.190","TCP","62","1701  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"87","14.279032","207.46.19.190","10.20.0.165","TCP","60","80  >  1701 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460"
"88","14.279074","10.20.0.165","207.46.19.190","TCP","54","1701  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"89","14.279443","10.20.0.165","207.46.19.190","HTTP","1073","GET /isapi/redir.dll?prd=ie&pver=6&ar=msnhome HTTP/1.1 "
"90","14.462355","207.46.19.190","10.20.0.165","HTTP","666","HTTP/1.1 302 Found  (text/html)"
"91","14.465507","10.20.0.165","89.101.160.4","DNS","76","Standard query 0x03f0 A go.microsoft.com"
"92","14.480830","89.101.160.4","10.20.0.165","DNS","133","Standard query response 0x03f0 A go.microsoft.com CNAME www.go.microsoft.akadns.net A 64.4.11.160"
"93","14.482030","10.20.0.165","64.4.11.160","TCP","62","1702  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"94","14.577901","10.20.0.165","207.46.19.190","TCP","54","1701  >  80 [ACK] Seq=1020 Ack=613 Win=64923 Len=0"
"95","14.642787","64.4.11.160","10.20.0.165","TCP","60","80  >  1702 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460"
"96","14.642824","10.20.0.165","64.4.11.160","TCP","54","1702  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"97","14.643232","10.20.0.165","64.4.11.160","HTTP","942","GET /fwlink/?LinkId=54729&clcid=0x0809 HTTP/1.1 "
"98","14.809895","64.4.11.160","10.20.0.165","HTTP","506","HTTP/1.1 302 Found  (text/html)"
"99","14.813038","10.20.0.165","89.101.160.4","DNS","70","Standard query 0x78f0 A uk.msn.com"
"100","14.825350","89.101.160.4","10.20.0.165","DNS","128","Standard query response 0x78f0 A uk.msn.com CNAME uk.db2.cb3.glbdns.microsoft.com A 94.245.115.205"
"101","14.826367","10.20.0.165","94.245.115.205","TCP","62","1703  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"102","14.841951","94.245.115.205","10.20.0.165","TCP","60","80  >  1703 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460"
"103","14.841988","10.20.0.165","94.245.115.205","TCP","54","1703  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"104","14.842561","10.20.0.165","94.245.115.205","HTTP","482","GET /?ocid=iefvrt HTTP/1.1 "
"105","14.888395","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=1 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"106","14.888486","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=1461 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"107","14.888536","10.20.0.165","94.245.115.205","TCP","54","1703  >  80 [ACK] Seq=429 Ack=2921 Win=65535 Len=0"
"108","14.888563","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=2921 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"109","14.888626","10.20.0.165","94.245.115.205","TCP","54","1703  >  80 [ACK] Seq=429 Ack=4381 Win=65535 Len=0"
"110","14.888973","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=4381 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"111","14.916868","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=5841 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"112","14.916921","10.20.0.165","94.245.115.205","TCP","54","1703  >  80 [ACK] Seq=429 Ack=7301 Win=65535 Len=0"
"113","14.918870","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=7301 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"114","14.918939","10.20.0.165","94.245.115.205","TCP","54","1703  >  80 [ACK] Seq=429 Ack=8761 Win=65535 Len=0"
"115","14.920062","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=8761 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"116","14.920121","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=10221 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"117","14.920170","10.20.0.165","94.245.115.205","TCP","54","1703  >  80 [ACK] Seq=429 Ack=11681 Win=65535 Len=0"
"118","14.922435","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=11681 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"119","14.922530","10.20.0.165","94.245.115.205","TCP","54","1703  >  80 [ACK] Seq=429 Ack=13141 Win=65535 Len=0"
"120","14.924286","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=13141 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"121","14.924340","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=14601 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"122","14.924387","10.20.0.165","94.245.115.205","TCP","54","1703  >  80 [ACK] Seq=429 Ack=16061 Win=65535 Len=0"
"123","14.938445","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=16061 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"124","14.938796","10.20.0.165","94.245.115.205","TCP","54","1703  >  80 [ACK] Seq=429 Ack=17521 Win=65535 Len=0"
"125","14.938824","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [PSH, ACK] Seq=17521 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"126","14.938867","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=18981 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"127","14.938910","10.20.0.165","94.245.115.205","TCP","54","1703  >  80 [ACK] Seq=429 Ack=20441 Win=62615 Len=0"
"128","14.939236","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=20441 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"129","14.939278","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=21901 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"130","14.939321","10.20.0.165","94.245.115.205","TCP","54","1703  >  80 [ACK] Seq=429 Ack=23361 Win=59695 Len=0"
"131","14.939346","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=23361 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"132","14.940655","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=24821 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"133","14.940722","10.20.0.165","94.245.115.205","TCP","54","1703  >  80 [ACK] Seq=429 Ack=26281 Win=56775 Len=0"
"134","14.940793","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=26281 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"135","14.942021","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=27741 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"136","14.942071","10.20.0.165","94.245.115.205","TCP","54","1703  >  80 [ACK] Seq=429 Ack=29201 Win=53855 Len=0"
"137","14.942779","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=29201 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"138","14.942850","94.245.115.205","10.20.0.165","TCP","1514","80  >  1703 [ACK] Seq=30661 Ack=429 Win=8190 Len=1460 [TCP segment of a reassembled PDU]"
"139","14.942899","10.20.0.165","94.245.115.205","TCP","54","1703  >  80 [ACK] Seq=429 Ack=32121 Win=50935 Len=0"
"140","14.946541","94.245.115.205","10.20.0.165","HTTP","1219","HTTP/1.1 200 OK  (text/html)"
"141","14.949021","10.20.0.165","94.245.115.205","TCP","54","1703  >  80 [ACK] Seq=429 Ack=33286 Win=65535 Len=0"
"142","15.015307","10.20.0.165","64.4.11.160","TCP","54","1702  >  80 [ACK] Seq=889 Ack=453 Win=65083 Len=0"
"143","15.083445","10.20.0.165","89.101.160.4","DNS","76","Standard query 0x0ffe A emea.rel.msn.com"
"144","15.099109","10.20.0.165","89.101.160.4","DNS","77","Standard query 0x08fe A ro-exp.uk.msn.com"
"145","15.100779","89.101.160.4","10.20.0.165","DNS","140","Standard query response 0x0ffe A emea.rel.msn.com CNAME emea.rel.rlv.cb3.glbdns.microsoft.com A 157.55.15.32"
"146","15.108669","10.20.0.165","157.55.15.32","TCP","62","1704  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"147","15.109318","10.20.0.165","89.101.160.4","DNS","71","Standard query 0xa9fd A udc.msn.com"
"148","15.125496","89.101.160.4","10.20.0.165","DNS","127","Standard query response 0xa9fd A udc.msn.com CNAME udc.udc0.glbdns.microsoft.com A 213.199.158.13"
"149","15.126916","157.55.15.32","10.20.0.165","TCP","62","80  >  1704 [SYN, ACK] Seq=0 Ack=1 Win=4380 Len=0 MSS=1460 SACK_PERM"
"150","15.126954","10.20.0.165","157.55.15.32","TCP","54","1704  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"151","15.127060","89.101.160.4","10.20.0.165","DNS","137","Standard query response 0x08fe A ro-exp.uk.msn.com CNAME ro-msnuk.exp.glbdns.microsoft.com A 157.55.15.126"
"152","15.130924","10.20.0.165","213.199.158.13","TCP","62","1705  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"153","15.131737","10.20.0.165","157.55.15.126","TCP","62","1706  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"154","15.142299","10.20.0.165","89.101.160.4","DNS","83","Standard query 0xdbfd A b.scorecardresearch.com"
"155","15.146367","10.20.0.165","89.101.160.4","DNS","72","Standard query 0xa5fb A c.uk.msn.com"
"156","15.148050","157.55.15.126","10.20.0.165","TCP","62","80  >  1706 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 SACK_PERM"
"157","15.148086","10.20.0.165","157.55.15.126","TCP","54","1706  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"158","15.155394","89.101.160.4","10.20.0.165","DNS","271","Standard query response 0xdbfd A b.scorecardresearch.com CNAME cn-b.scorecardresearch.com.edgesuite.net CNAME cn-b.scorecardresearch.com.edgesuite.net.globalredir.akadns.net CNAME a733.g.akamai.net A 92.122.126.211 A 92.122.127.9"
"159","15.155990","10.20.0.165","92.122.126.211","TCP","62","1707  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"160","15.156701","10.20.0.165","89.101.160.4","DNS","81","Standard query 0xe1fb A msnportal.112.2o7.net"
"161","15.159878","213.199.158.13","10.20.0.165","TCP","62","80  >  1705 [SYN, ACK] Seq=0 Ack=1 Win=4380 Len=0 MSS=1460 SACK_PERM"
"162","15.159913","10.20.0.165","213.199.158.13","TCP","54","1705  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"163","15.160017","89.101.160.4","10.20.0.165","DNS","148","Standard query response 0xa5fb A c.uk.msn.com CNAME c.msn.co.uk CNAME c.msn.co.uk.nsatc.net A 94.245.117.52"
"164","15.160817","10.20.0.165","94.245.117.52","TCP","62","1708  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"165","15.161663","10.20.0.165","89.101.160.4","DNS","72","Standard query 0xbdf9 A www.bing.com"
"166","15.170308","89.101.160.4","10.20.0.165","DNS","369","Standard query response 0xe1fb A msnportal.112.2o7.net A 66.235.133.62 A 66.235.138.2 A 66.235.139.152 A 66.235.133.33 A 66.235.132.232 A 66.235.138.59 A 66.235.132.152 A 66.235.132.121 A 66.235.132.118 A 66.235.139.118 A 66.235.139.166 A 66.235.139.121 A 66.235.133.14 A 66.235.133.11 A 66.235.138.19 A 66.235.138.18 A 66.235.139.153 A 66.235.138.44"
"167","15.171471","10.20.0.165","66.235.133.62","TCP","62","1709  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"168","15.171941","10.20.0.165","157.55.15.32","HTTP","726","GET /default.aspx?tv=infopane_hops%3Ana%2Cnewstab%3Anews%2Csocialtg%3Awindowslive%2Cmultimap%3Afindm&di=179&pi=7441&ps=10225&pageid=7204044&mk=en-gb&tp=http%3A%2F%2Fuk.msn.com%2Fdefault.aspx&fk=default&gp=S&optkey=default&parsergroup=hops HTTP/1.1 "
"169","15.172354","10.20.0.165","157.55.15.126","HTTP","759","GET /ro.aspx?slv=&tp=http%3A%2F%2Fuk.msn.com%2F%3Focid%3Diefvrt&rid=c5023591b7fc483f960be9e7ef5a80ae&di=179&pi=7441&ps=10225&pn=UK+Homepage&ch=MSFT&evt=impr&obs=msnhp_uk_pv HTTP/1.1 "
"170","15.172688","10.20.0.165","213.199.158.13","HTTP","1018","GET /c.gif?di=179&pi=7441&ps=10225&pn=UK+Homepage&br=MSFT&mk=en-gb&pid=7204044&mv=V15&su=http%3A%2F%2Fuk.msn.com%2Fdefault.aspx&fk=default&gp=S&optkey=default&clid=228E3701CDE567001C403586C9E5679A&cu=http%3A%2F%2Fuk.msn.com%2F%3Focid%3Diefvrt&sl=0&slv=&bh=311&bw=619&scr=640x480&sd=24&cts=1318333896085&expac=34II3a39_0803%3AC%7C&dv.SNLogin=fb%3Af%2Ctw%3Af&dv.GrpFrMod=infopane_hops%3Ana%2Cnewstab%3Anews%2Csocialtg%3Awindowslive%2Cmultimap%3Afindm&rid=c5023591b7fc483f960be9e7ef5a80ae&exa=msnhp_uk_master_v2%3AC&pp=False&evt=impr&js=1 HTTP/1.1 "
"171","15.175700","89.101.160.4","10.20.0.165","DNS","173","Standard query response 0xbdf9 A www.bing.com CNAME search.ms.com.edgesuite.net CNAME a134.b.akamai.net A 92.122.126.26 A 92.122.126.58"
"172","15.176277","10.20.0.165","92.122.126.26","TCP","62","1710  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"173","15.177227","94.245.117.52","10.20.0.165","TCP","60","80  >  1708 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460"
"174","15.177262","10.20.0.165","94.245.117.52","TCP","54","1708  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"175","15.178499","10.20.0.165","94.245.117.52","HTTP","681","GET /c.gif?rnd=1318333896085&rid=c5023591b7fc483f960be9e7ef5a80ae&tp=http%3A%2F%2Fuk.msn.com%2Fdefault.aspx&di=179&pi=7441&ps=10225&lng=en-gb&scr=640x480&udc=true HTTP/1.1 "
"176","15.181777","92.122.126.211","10.20.0.165","TCP","62","80  >  1707 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM"
"177","15.181814","10.20.0.165","92.122.126.211","TCP","54","1707  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"178","15.182375","10.20.0.165","92.122.126.211","HTTP","451","GET /b?rn=1318333896085&c7=http%3A%2F%2Fuk.msn.com%2F%3Focid%3Diefvrt&c1=2&c2=3000001 HTTP/1.1 "
"179","15.188007","157.55.15.32","10.20.0.165","HTTP","346","HTTP/1.1 204 No Content "
"180","15.193593","157.55.15.126","10.20.0.165","HTTP","424","HTTP/1.1 200 OK  (GIF89a)"
"181","15.201177","92.122.126.26","10.20.0.165","TCP","62","80  >  1710 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM"
"182","15.201213","10.20.0.165","92.122.126.26","TCP","54","1710  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"183","15.203406","10.20.0.165","92.122.126.26","HTTP","548","GET /partner/primedns.gif HTTP/1.1 "
"184","15.204263","94.245.117.52","10.20.0.165","HTTP","475","HTTP/1.1 200 OK  (GIF89a)"
"185","15.209701","213.199.158.13","10.20.0.165","HTTP","444","HTTP/1.1 200 OK  (GIF89a)"
"186","15.211957","92.122.126.211","10.20.0.165","TCP","60","80  >  1707 [ACK] Seq=1 Ack=398 Win=6432 Len=0"
"187","15.212041","92.122.126.211","10.20.0.165","HTTP","302","HTTP/1.1 204 No Content "
"188","15.226079","92.122.126.26","10.20.0.165","TCP","60","80  >  1710 [ACK] Seq=1 Ack=495 Win=6432 Len=0"
"189","15.284129","92.122.126.26","10.20.0.165","HTTP","330","HTTP/1.1 304 Not Modified "
"190","15.348929","10.20.0.165","213.199.158.13","TCP","54","1705  >  80 [ACK] Seq=965 Ack=391 Win=65145 Len=0"
"191","15.349019","10.20.0.165","157.55.15.126","TCP","54","1706  >  80 [ACK] Seq=706 Ack=371 Win=65165 Len=0"
"192","15.349098","10.20.0.165","92.122.126.211","TCP","54","1707  >  80 [ACK] Seq=398 Ack=249 Win=65287 Len=0"
"193","15.349182","10.20.0.165","94.245.117.52","TCP","54","1708  >  80 [ACK] Seq=628 Ack=422 Win=65114 Len=0"
"194","15.349261","10.20.0.165","157.55.15.32","TCP","54","1704  >  80 [ACK] Seq=673 Ack=293 Win=65243 Len=0"
"195","15.349304","66.235.133.62","10.20.0.165","TCP","62","80  >  1709 [SYN, ACK] Seq=0 Ack=1 Win=4380 Len=0 MSS=1460 SACK_PERM"
"196","15.349340","10.20.0.165","66.235.133.62","TCP","54","1709  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
